directory,score_mean,score_median,score_std,clarity_mean,clarity_median,clarity_std,accuracy_mean,accuracy_median,accuracy_std
QAEasy10_gpt-3.5-turbo_4_19_24,9.3,9.5,0.8232726023485647,0.9,0.0,2.8460498941515415,0.8,0.0,2.5298221281347035
QAEasy10_gpt-4-turbo_4_19_24,9.3,10.0,1.3374935098492586,0.9,0.0,2.8460498941515415,0.7,0.0,2.2135943621178655
QAEasy10_mistral-large-latest_4_19_24,8.0,9.5,2.5385910352879693,7.1,8.0,2.4698178070456938,6.7,7.5,2.8303906287138374
QAEasy10_open-mistral-7b_4_19_24,2.8,1.5,3.259175083088085,2.9,0.5,3.9285281382896233,2.5,0.0,4.089281382128433
QAHard11_gpt-3.5-turbo_4_19_24,6.1,7.0,2.4244128727957577,0.0,0.0,0.0,0.0,0.0,0.0
QAHard11_gpt-4-turbo_4_19_24,5.454545454545454,7.0,3.4165373220158557,3.272727272727273,0.0,4.584559064750046,2.272727272727273,0.0,4.100997661323622
QAHard11_mistral-large-latest_4_19_24,5.1,6.5,2.378141197564929,9.4,10.0,1.0749676997731399,7.3,9.5,3.3349995835415367
QAHard11_open-mistral-7b_4_19_24,1.5555555555555556,0.0,3.0046260628866577,2.6666666666666665,3.0,2.958039891549808,1.5555555555555556,1.0,2.242270674512285
QAEasy10_gpt-3.5-turbo_4_19_24,7.6,8.0,2.8751811537130436,9.3,9.5,0.8232726023485647,8.5,8.0,0.97182531580755
QAEasy10_gpt-4-turbo_4_19_24,7.7,9.5,4.083843505544475,7.2,8.0,2.616188916046478,7.2,8.0,2.780887148615228
QAEasy10_gpt-3.5-turbo_4_19_24,8.1,8.0,1.728840330651992,0.8,0.0,2.5298221281347035,0.3,0.0,0.9486832980505139
QAEasy10_gpt-4-turbo_4_19_24,6.1,7.5,4.357624225296267,1.0,0.0,3.1622776601683795,1.0,0.0,3.1622776601683795
QAEasy10_mistral-large-latest_4_19_24,7.2,7.0,2.8205594401741574,6.7,8.0,3.368151487751767,5.5,6.5,4.600724580614087
QAEasy10_open-mistral-7b_4_19_24,1.4,0.0,3.1692971530679235,3.5,3.5,3.5355339059327378,2.9,2.5,3.3149493041204847
QAHard11_gpt-3.5-turbo_4_19_24,4.9,4.0,2.4698178070456938,0.0,0.0,0.0,0.0,0.0,0.0
QAHard11_gpt-4-turbo_4_19_24,6.818181818181818,8.0,2.272363607268072,0.9090909090909091,0.0,3.0151134457776365,0.9090909090909091,0.0,3.0151134457776365
QAHard11_mistral-large-latest_4_19_24,6.1,6.5,2.766867462592951,9.1,9.5,1.1005049346146119,7.6,10.0,3.3399933466334266
QAHard11_open-mistral-7b_4_19_24,4.3,4.5,3.0568684048294332,7.4,9.0,3.9777157040470126,5.2,4.0,4.157990967870047
QAEasy10_gpt-3.5-turbo_4_19_24,8.1,9.0,2.4244128727957572,9.5,10.0,0.8498365855987975,9.4,10.0,0.9660917830792959
QAEasy10_gpt-4-turbo_4_19_24,9.0,10.0,1.8856180831641267,10.0,10.0,0.0,10.0,10.0,0.0
QAEasy10_mistral-large-latest_4_19_24,8.4,9.0,1.776388345929897,9.7,10.0,0.674948557710553,9.2,9.5,1.0327955589886444
QAEasy10_open-mistral-7b_4_19_24,3.9,2.0,4.483302354291979,8.2,8.0,0.7888106377466155,6.0,5.5,2.788866755113585
QAHard11_gpt-3.5-turbo_4_19_24,5.0,6.0,2.6076809620810595,8.090909090909092,8.0,1.4459976109624424,4.0,2.0,3.9749213828703582
QAHard11_gpt-4-turbo_4_19_24,7.0,7.0,2.449489742783178,9.727272727272727,10.0,0.6466697906828632,8.909090909090908,10.0,2.467976720090587
QAHard11_mistral-large-latest_4_19_24,6.090909090909091,6.0,2.256304299271065,8.545454545454545,9.0,0.9341987329938276,7.636363636363637,9.0,2.73030134866931
QAHard11_open-mistral-7b_4_19_24,3.0,2.0,3.3166247903554,6.636363636363637,9.0,4.3190908134172705,5.0,4.0,4.0743097574926725
QAEasy10_mistral-large-latest_4_19_24,8.0,9.5,2.5385910352879693,7.1,8.0,2.4698178070456938,6.7,7.5,2.8303906287138374
QAEasy10_open-mistral-7b_4_19_24,2.8,1.5,3.259175083088085,2.9,0.5,3.9285281382896233,2.5,0.0,4.089281382128433
QAHard11_gpt-3.5-turbo_4_19_24,6.1,7.0,2.4244128727957577,0.0,0.0,0.0,0.0,0.0,0.0
QAHard11_gpt-4-turbo_4_19_24,5.454545454545454,7.0,3.4165373220158557,3.272727272727273,0.0,4.584559064750046,2.272727272727273,0.0,4.100997661323622
QAHard11_mistral-large-latest_4_19_24,5.1,6.5,2.378141197564929,9.4,10.0,1.0749676997731399,7.3,9.5,3.3349995835415367
QAHard11_open-mistral-7b_4_19_24,1.5555555555555556,0.0,3.0046260628866577,2.6666666666666665,3.0,2.958039891549808,1.5555555555555556,1.0,2.242270674512285
QAEasy10_gpt3.5turbo_4_19_24,8.1,8.0,2.0248456731316584,9.7,10.0,0.674948557710553,9.2,10.0,1.6193277068654826
QAEasy10_gpt4turbo_4_19_24,9.3,10.0,0.9486832980505139,9.9,10.0,0.31622776601683794,9.2,10.0,1.6193277068654823
QAEasy10_mistral7b_4_19_24,1.8,1.5,1.8135294011647258,7.0,8.0,1.9436506316151,5.8,6.0,2.3475755815545347
QAEasy10_mistralLarge_4_19_24,9.2,10.0,1.1352924243950933,9.5,10.0,0.7071067811865476,8.5,8.0,1.1785113019775793
QAHard11_gpt3.5turbo_4_19_24,6.636363636363637,7.0,2.2922795323750234,9.181818181818182,10.0,1.0787197799411874,7.363636363636363,10.0,3.35477949417625
QAHard11_gpt4turbo_4_19_24,5.7,6.5,2.79085809185793,9.5,10.0,1.0801234497346435,9.2,10.0,1.7511900715418263
QAHard11_mistral7b_4_19_24,3.3,3.0,2.9078437983419185,7.9,8.5,1.5238839267549946,5.7,4.0,3.400980250849256
QAHard11_mistralLarge_4_19_24,5.5,6.0,2.068278940998476,8.8,9.0,1.0327955589886444,8.3,8.5,1.4944341180973264
